id,text,rating,date,source,app,cleaned_text,word_count,language
lowyat_3803865_7,"Yeah, I'm a bit worried about that too. What happens if it shuts down? Can we still MNP to another telco?",,,lowyat,lowyat/TelcoTalk,"Yeah, I'm a bit worried about that too. What happens if it shuts down? Can we still MNP to another telco?",21,en
lowyat_3803865_8,Yes you can still MNP to other Telco. They will inform a month before termination of their service,,,lowyat,lowyat/TelcoTalk,Yes you can still MNP to other Telco. They will inform a month before termination of their service,18,en
lowyat_3803865_9,"Depends on what you're looking for. For me currently, I'm looking at either Buzzme or Digi. What I want is the cheapest upkeep cost, long validity and always-on Whatsapp (ie: any data even low speed is OK).",,,lowyat,lowyat/TelcoTalk,"Depends on what you're looking for. For me currently, I'm looking at either Buzzme or Digi. What I want is the cheapest upkeep cost, long validity and always-on Whatsapp (ie: any data even low speed is OK).",37,en
lowyat_3803865_10,The statements below is based on the assumption that the intended user is a passive user (one who requires a line for receiving calls with minimum out calls/sms/data). XOX offers the same 28 months validity plus the option for 1 year extended validity @ RM25 (no further topup required). OneXOX does not have 1year extended validity option. The only way to extend after the 28 months is by reloading (and also user-get-user can work too but what if all your referrals are also passive user? ). Another way is to mnp out to another and back in the next day .....,,,lowyat,lowyat/TelcoTalk,The statements below is based on the assumption that the intended user is a passive user (one who requires a line for receiving calls with minimum out calls/sms/data). XOX offers the same 28 months validity plus the option for 1 year extended validity @ RM25 (no further topup required). OneXOX does not have 1year extended validity option. The only way to extend after the 28 months is by reloading (and also user-get-user can work too but what if all your referrals are also passive user? ). Another way is to mnp out to another and back in the next day ..,101,en
lowyat_3803865_11,It is impossible to reach the 28 months validity/ expired bcos the validity will be extended with every topup.,,,lowyat,lowyat/TelcoTalk,It is impossible to reach the 28 months validity/ expired bcos the validity will be extended with every topup.,19,en
lowyat_3803865_12,"On the contrary, it is very much possible to have the 28 moths validity expires by way of : 1. Parking a number and forget about it for the next 28 months 2. Passive users who requires a number just for receving call and sms ( mnp to get rm5 preloaded credit and 28 months validity = cheap!) Doesn't oneXOX promotes maximum savings? The two above is already substantial savings for some .....",,,lowyat,lowyat/TelcoTalk,"On the contrary, it is very much possible to have the 28 moths validity expires by way of : 1. Parking a number and forget about it for the next 28 months 2. Passive users who requires a number just for receving call and sms ( mnp to get rm5 preloaded credit and 28 months validity = cheap!) Doesn't oneXOX promotes maximum savings? The two above is already substantial savings for some ..",73,en
lowyat_3803865_13,That's good to hear. Not so worried now.,,,lowyat,lowyat/TelcoTalk,That's good to hear. Not so worried now.,8,en
lowyat_3803865_14,"Thanks UN1T3D, you've been very helpful with my questions. Not just here but other threads as well.",,,lowyat,lowyat/TelcoTalk,"Thanks UN1T3D, you've been very helpful with my questions. Not just here but other threads as well.",17,en
lowyat_3803865_15,"Tron Validity 365 days with a min reload RM10 Internet: Daily RM1 30MB,Weekly RM5 150MB,Monthly RM10 200MB Unlimited *Note - unlimited @ 32kbps after quota **TnC - unlimited means confined to the amount of data subscribed i.e. 30MB, 150MB, 200MB Rates: 20/min 10/sms Data PAYU: 10sen/MB ***Note - Normally one session of PAYU has 3 connection, thus it is more like 30sen/MB. DIGI standard. Friends & Family: 1st 10 seconds FREE (On net only) On-Net (12 lines) 10 cents / Minute Off-Net (3 lines) 16 cents / Minute Port-In Charges: Top-up RM30 Free admin fee only, otherwise RM10 admin fee and RM9 for a new Tron SIM card. Offers: Seasonable promotion (Topup RM100, free RM25, free 150min on-net). Every few months the promotion changes, but fundamentally they are the same. http://www.tron.com.my/tron-lite-sim/rates/ http://www.tron.com.my/tron-lite-sim/whats-new/ The plan may not be better than some mentioned here. But it offers flexibility. Daily, weekly, monthly plan on top of 365 validity, plus free calls and first 10seconds free if Friends and Family. The plan is superb if you need two of them, one needs monthly plan, the second totally just for receiving calls and making those 10 second calls to the first number. Pay RM100, get RM125 can use one year internet at RM10 monthly (200MB 3G speed +200MB @32kbps). Hope the information helps. As mentioned, there is no one plan better than all the rest in all aspects. Extra: Can talk time transfer with just 50sen total costs. Can totally disable PAYU by writing to TRON to fully disable Internet but then cannot subscribe to any plans and thus no internet in case of emergency. This post has been edited by password8431 : Dec 20 2015, 03:58 PM",,,lowyat,lowyat/TelcoTalk,"Tron Validity 365 days with a min reload RM10 Internet: Daily RM1 30MB,Weekly RM5 150MB,Monthly RM10 200MB Unlimited *Note - unlimited @ 32kbps after quota **TnC - unlimited means confined to the amount of data subscribed i.e. 30MB, 150MB, 200MB Rates: 20/min 10/sms Data PAYU: 10sen/MB **Note - Normally one session of PAYU has 3 connection, thus it is more like 30sen/MB. DIGI standard. Friends & Family: 1st 10 seconds FREE (On net only) On-Net (12 lines) 10 cents / Minute Off-Net (3 lines) 16 cents / Minute Port-In Charges: Top-up RM30 Free admin fee only, otherwise RM10 admin fee and RM9 for a new Tron SIM card. Offers: Seasonable promotion (Topup RM100, free RM25, free 150min on-net). Every few months the promotion changes, but fundamentally they are the same. The plan may not be better than some mentioned here. But it offers flexibility. Daily, weekly, monthly plan on top of 365 validity, plus free calls and first 10seconds free if Friends and Family. The plan is superb if you need two of them, one needs monthly plan, the second totally just for receiving calls and making those 10 second calls to the first number. Pay RM100, get RM125 can use one year internet at RM10 monthly (200MB 3G speed +200MB @32kbps). Hope the information helps. As mentioned, there is no one plan better than all the rest in all aspects. Extra: Can talk time transfer with just 50sen total costs. Can totally disable PAYU by writing to TRON to fully disable Internet but then cannot subscribe to any plans and thus no internet in case of emergency. This post has been edited by password8431 : Dec 20 2015, 03:58 PM",281,en
lowyat_3803865_16,"http://www.xiddig.net/ xiddig is tron clone everything is same. the different is unlike tron, xiddig have online reseller to buy sim card and reload.",,,lowyat,lowyat/TelcoTalk,"xiddig is tron clone everything is same. the different is unlike tron, xiddig have online reseller to buy sim card and reload.",22,en
lowyat_3803865_17,Good thread. Thanks for sharing,,,lowyat,lowyat/TelcoTalk,Good thread. Thanks for sharing,5,en
lowyat_3803865_18,"Indeed, even after the recent changes to rates, they are exactly the same. Probably the only difference I can see from the web sites are the Top Up Promotions, and the Reload channels (7 Eleven)",,,lowyat,lowyat/TelcoTalk,"Indeed, even after the recent changes to rates, they are exactly the same. Probably the only difference I can see from the web sites are the Top Up Promotions, and the Reload channels (7 Eleven)",35,en
lowyat_3803865_19,Very useful info for beginners,,,lowyat,lowyat/TelcoTalk,Very useful info for beginners,5,en
lowyat_3803865_21,Which of the MVNO have international roaming ? And are there more details on what these MVNO backbone are ? I know TuneTalk was with Maxis and currently Celcom I think .. this info will be good to check their coverage. Thanks.,,,lowyat,lowyat/TelcoTalk,Which of the MVNO have international roaming ? And are there more details on what these MVNO backbone are ? I know TuneTalk was with Maxis and currently Celcom I think .. this info will be good to check their coverage. Thanks.,42,en
lowyat_3803865_22,"Tune Talk is majority owned by Celcom Axiata Berhad and Tune Group Sdn Bhd, with 35% and 25.1% respectively.",,,lowyat,lowyat/TelcoTalk,"Tune Talk is majority owned by Celcom Axiata Berhad and Tune Group Sdn Bhd, with 35% and 25.1% respectively.",19,en
lowyat_3803865_23,Good to know. Anyone knows the rest of the MVNO ?,,,lowyat,lowyat/TelcoTalk,Good to know. Anyone knows the rest of the MVNO ?,11,en
lowyat_3803865_24,"Updated 1st post with some usage examples: Digi New Best v1 Prepaid Load RM50 - SLL RM38 - IDDC RM10 = RM2 Credit (1 yr validity & 12GB/year 64kbps internet) BuzzMe Load RM50 - V365 RM38 - 200mb Data RM5 = RM7 Credit (1 yr validity & 200mb/year) Load RM70 - V365 RM38 - 1GB Data RM25 = RM7 Credit (1 yr validity & 1GB/year) TuneTalk Load RM140 - V365 RM28 - Weekly Data RM104 = RM8 Credit (1 yr validity & 5.2GB/year) (Weekly data does not stack so will have to purchase every week) Altel Real Example: Load RM130 - V365#1 RM28 - Quarterly Data RM100 + Reload V365#2 RM30 = RM32 Credit (1 yr validity & 4GB/year) Some forum members have experienced that the credit validity follows the data validity or whichever is longer, if that's true then we don't need to purchase V365: Example: Load RM110 - Quarterly Data RM100 = RM10 Credit (1 yr validity & 4GB/year)",,,lowyat,lowyat/TelcoTalk,"Updated 1st post with some usage examples: Digi New Best v1 Prepaid Load RM50 - SLL RM38 - IDDC RM10 = RM2 Credit (1 yr validity & 12GB/year 64kbps internet) BuzzMe Load RM50 - V365 RM38 - 200mb Data RM5 = RM7 Credit (1 yr validity & 200mb/year) Load RM70 - V365 RM38 - 1GB Data RM25 = RM7 Credit (1 yr validity & 1GB/year) TuneTalk Load RM140 - V365 RM28 - Weekly Data RM104 = RM8 Credit (1 yr validity & 5.2GB/year) (Weekly data does not stack so will have to purchase every week) Altel Real Example: Load RM130 - V365#1 RM28 - Quarterly Data RM100 + Reload V365#2 RM30 = RM32 Credit (1 yr validity & 4GB/year) Some forum members have experienced that the credit validity follows the data validity or whichever is longer, if that's true then we don't need to purchase V365: Example: Load RM110 - Quarterly Data RM100 = RM10 Credit (1 yr validity & 4GB/year)",161,en
lowyat_3803865_25,"Reading the Altel FAQ.. the quarterly is a current data promotion, extended from 30 days to 90 days for the 1GB. If this promotions becomes permanent, then you will have the option of 1GB or 2GB data plan. But that would mean topping up data every quarterly if V365 is not added. Wonder how long has the 1GB for 90days have been going on for ?",,,lowyat,lowyat/TelcoTalk,"Reading the Altel FAQ.. the quarterly is a current data promotion, extended from 30 days to 90 days for the 1GB. If this promotions becomes permanent, then you will have the option of 1GB or 2GB data plan. But that would mean topping up data every quarterly if V365 is not added. Wonder how long has the 1GB for 90days have been going on for ?",66,en
lowyat_3803865_26,almost a year if i recalled correctly,,,lowyat,lowyat/TelcoTalk,almost a year if i recalled correctly,7,en
lowyat_3803865_27,"Long term promo .. nice. Do you know Altel is riding on which backbone ? Digi, Celcom or Maxis ? I have horrible signal and service with Digi so I am trying to avoid them totally, if possible.",,,lowyat,lowyat/TelcoTalk,"Long term promo .. nice. Do you know Altel is riding on which backbone ? Digi, Celcom or Maxis ? I have horrible signal and service with Digi so I am trying to avoid them totally, if possible.",38,en
lowyat_3803865_28,"backbone = TM. same as digi and umobile network = most place celcom 2G 3G 4G, some place use own 4G B7",,,lowyat,lowyat/TelcoTalk,"backbone = TM. same as digi and umobile network = most place celcom 2G 3G 4G, some place use own 4G B7",22,en
lowyat_3803865_29,"As fat16 already mentioned, Altel is on Celcom 2G/3G/4G and in some areas their own 4G. I'm on Altel purely for data backup and i'm satisfied with it (so far very good). So, I topup exactly RM25 via pinless/easyreload for subscribing 1gb data plan. No need for altel365. The validity for rm25 topup is 45days, subscribing 1gb data plan will extend the validity to 90days (yes, for both credit and data validity). Best of luck.",,,lowyat,lowyat/TelcoTalk,"As fat16 already mentioned, Altel is on Celcom 2G/3G/4G and in some areas their own 4G. I'm on Altel purely for data backup and i'm satisfied with it (so far very good). So, I topup exactly RM25 via pinless/easyreload for subscribing 1gb data plan. No need for altel365. The validity for rm25 topup is 45days, subscribing 1gb data plan will extend the validity to 90days (yes, for both credit and data validity). Best of luck.",75,en
lowyat_3803865_30,Cool.. thanks for the info. I did not know Digi and uMobile was on TM backbone... interesting. I always thought Celcom was the only one on TM infra.,,,lowyat,lowyat/TelcoTalk,Cool.. thanks for the info. I did not know Digi and uMobile was on TM backbone.. interesting. I always thought Celcom was the only one on TM infra.,28,en
lowyat_3803865_31,"This is great! Looking for a long validity mobile internet as backup only. Only use for light surfing and chat and waze. Spoke to their CS.  Details in post below. Gonna MNP to Altel soon. This post has been edited by elblink : Dec 28 2015, 09:40 PM",,,lowyat,lowyat/TelcoTalk,"This is great! Looking for a long validity mobile internet as backup only. Only use for light surfing and chat and waze. Spoke to their CS. Details in post below. Gonna MNP to Altel soon. This post has been edited by elblink : Dec 28 2015, 09:40 PM",48,en
lowyat_3803865_32,"Yup! Exactly as you said. I just called up their CS at this hour, still open and fast in getting thru to operator. 1GB valid for 90 days, balance will be burned. So we are looking at RM25/ 3months = RM8.33 / 333MB /month or 2GB valid for 90 days, RM42 / 3months = RM14 / 666MB /month No need to keep account active to enjoy the data I think umoble UMI needs to keep account active to use the data? like other telcos. The altel365 is upon 1st reload of rm50 in 1 single receipt to extend to 365 days from the day of reload. Then the RM50 credit can be used to buy data, calls, sms. It is not burned to extend validity like some telco. It's min RM53 in total with GST. When MNP got free 300MB data. Planning to MNP my xpax over to them soon. This post has been edited by elblink : Dec 28 2015, 10:43 PM",,,lowyat,lowyat/TelcoTalk,"Yup! Exactly as you said. I just called up their CS at this hour, still open and fast in getting thru to operator. 1GB valid for 90 days, balance will be burned. So we are looking at RM25/ 3months = RM8.33 / 33MB /month or 2GB valid for 90 days, RM42 / 3months = RM14 / 66MB /month No need to keep account active to enjoy the data I think umoble UMI needs to keep account active to use the data? like other telcos. The altel365 is upon 1st reload of rm50 in 1 single receipt to extend to 365 days from the day of reload. Then the RM50 credit can be used to buy data, calls, sms. It is not burned to extend validity like some telco. It's min RM53 in total with GST. When MNP got free 300MB data. Planning to MNP my xpax over to them soon. This post has been edited by elblink : Dec 28 2015, 10:43 PM",163,en
